"phen_pois" "cofactor" "phylo" "obs"
"111" 1 3.93332909327 "sp_111" 111
"112" 4 12.2523138299584 "sp_112" 112
"113" 4 14.765341412276 "sp_113" 113
"114" 3 14.0667329635471 "sp_114" 114
"115" 4 14.63642927818 "sp_115" 115
"116" 0 0.982736335135996 "sp_116" 116
"117" 7 11.8094338616356 "sp_117" 117
"118" 3 15.0167428283021 "sp_118" 118
"119" 0 2.93460626155138 "sp_119" 119
"120" 2 14.4625549856573 "sp_120" 120
"121" 1 3.58197431080043 "sp_121" 121
"122" 0 5.93845078255981 "sp_122" 122
"123" 4 15.0166683224961 "sp_123" 123
"124" 1 8.66543678566813 "sp_124" 124
"125" 11 18.1633659219369 "sp_125" 125
"126" 3 3.00229831133038 "sp_126" 126
"127" 0 5.18903369084001 "sp_127" 127
"128" 0 0.82342594396323 "sp_128" 128
"129" 16 19.4019915862009 "sp_129" 129
"130" 18 17.7708528237417 "sp_130" 130
"131" 1 9.9611847428605 "sp_131" 131
"132" 1 6.23705577570945 "sp_132" 132
"133" 6 15.7574088033289 "sp_133" 133
"134" 4 12.6087644603103 "sp_134" 134
"135" 0 11.5594818815589 "sp_135" 135
"136" 3 11.3555123051628 "sp_136" 136
"137" 9 15.8111122902483 "sp_137" 137
"138" 0 3.33092326298356 "sp_138" 138
"139" 1 1.0151651641354 "sp_139" 139
"140" 1 8.53682615794241 "sp_140" 140
"141" 4 5.40029122959822 "sp_141" 141
"142" 0 1.62691679783165 "sp_142" 142
"143" 4 14.531945604831 "sp_143" 143
"144" 0 4.04087916947901 "sp_144" 144
"145" 1 9.3971361219883 "sp_145" 145
"146" 6 12.4490794586018 "sp_146" 146
"147" 5 13.7795139942318 "sp_147" 147
"148" 1 9.37987734097987 "sp_148" 148
"149" 9 18.633303064853 "sp_149" 149
"150" 25 19.9002105696127 "sp_150" 150
"151" 5 14.1992724919692 "sp_151" 151
"152" 16 18.4159356122836 "sp_152" 152
"153" 3 12.5894845789298 "sp_153" 153
"154" 6 10.6530642695725 "sp_154" 154
"155" 2 12.0548351900652 "sp_155" 155
"156" 4 12.3876380128786 "sp_156" 156
"157" 0 1.79911971557885 "sp_157" 157
"158" 0 1.11601918470114 "sp_158" 158
"159" 0 0.371990543790162 "sp_159" 159
"160" 19 18.7914584251121 "sp_160" 160
"161" 3 15.2057593967766 "sp_161" 161
"162" 1 4.21502228826284 "sp_162" 162
"163" 2 10.2678516088054 "sp_163" 163
"164" 2 7.00620380695909 "sp_164" 164
"165" 0 10.4936401126906 "sp_165" 165
"166" 9 16.673849648796 "sp_166" 166
"167" 7 18.0688004475087 "sp_167" 167
"168" 5 12.0953970169649 "sp_168" 168
"169" 25 18.9678255422041 "sp_169" 169
"170" 2 11.0059805773199 "sp_170" 170
"171" 1 9.25403710454702 "sp_171" 171
"172" 1 10.2216057293117 "sp_172" 172
"173" 1 9.86736222635955 "sp_173" 173
"174" 0 2.15197998099029 "sp_174" 174
"175" 2 10.9169692080468 "sp_175" 175
"176" 10 16.7635344574228 "sp_176" 176
"177" 2 7.74032014422119 "sp_177" 177
"178" 5 13.8131712703034 "sp_178" 178
"179" 4 13.2870834320784 "sp_179" 179
"180" 2 12.4060766818002 "sp_180" 180
"181" 0 0.687475530430675 "sp_181" 181
"182" 6 16.6742958500981 "sp_182" 182
"183" 1 11.3340411055833 "sp_183" 183
"184" 0 1.97686463128775 "sp_184" 184
"185" 10 17.5922470120713 "sp_185" 185
"186" 0 9.26145700272173 "sp_186" 186
"187" 0 3.91044855583459 "sp_187" 187
"188" 1 3.96443310659379 "sp_188" 188
"189" 0 3.09829299338162 "sp_189" 189
"190" 15 15.8499716455117 "sp_190" 190
"191" 0 7.85038299392909 "sp_191" 191
"192" 1 7.23074001260102 "sp_192" 192
"193" 14 17.0680257910863 "sp_193" 193
"194" 0 3.22424327488989 "sp_194" 194
"195" 0 4.63598306756467 "sp_195" 195
"196" 7 16.1111897788942 "sp_196" 196
"197" 0 6.62250647321343 "sp_197" 197
"198" 0 0.0374164013192058 "sp_198" 198
"199" 0 0.883930446580052 "sp_199" 199
"200" 10 17.6410192204639 "sp_200" 200
